campus_name,alamat,kota
Sekolah Tinggi Ilmu Kesehatan Mega Rezky,Jalan Antang Raya No. 43 Makassar,Nan
Universitas Muhammadiyah Lamongan,Nan,Lamongan
Sekolah Tinggi Ilmu Ekonomi Pontianak,Jalan Sultan Hamid Ii No 163,Pontianak
Sekolah Tinggi Ilmu Ekonomi Graha Kirana,Jalan Kirana Raya No 20-22,Medan
"Stai An-Nadwah Kuala Tungkal, Jambi",Jln. Kapt. Pierre Tendean,Natuna
Stai Sultan Abdurrahman Kepulauan Riau,"Jl. Mt. Haryono , No. 01 Kel. Tanjung Unggat, Kec. Bukit Bestari Kota Tanju",Nan
Sekolah Tinggi Ilmu Administrasi Lppn,Jl Seberang Padang Selatan I No 13 15,Padang
Stain Jember,Jl. Jumat No. 94 Mangli,Nan
Politeknik Sukabumi,Jalan Babakan Sirna No 25 Kelurahan Benteng,Sukabumi
Sekolah Tinggi Ilmu Sosial Ilmu Politik Kebangsaan,Jalan Abdullah Soulissa,Maluku Tengah
Universitas Tamansiswa,Jalan Tamansiswa No 9 Padang,Padang
Ikip Gunung Sitoli,Jl Yos Sudarso No 118E-S,Gunungsitoli
Akademi Analis Kesehatan An Nasher Cirebon,Pp. Tarbiyatul Banin Kaliwadas Sumber Cirebon,Cirebon
Institut Agama Islam Bunga Bangsa Cirebon,Jln. Widarasari Iii-Tuparev Cirebon,Cirebon
Stikes Tanawali Takalar,Jalan Jenderal Sudirman No 23,Nan
Akademi Kebidanan Nurul Hasanah,Jl Ahmad Yani No 23 Pulo Kemiri,Aceh Tenggara
Akademi Bahasa Asing Internasional Bandung,"Jalan Soekarno Hatta No 22 Bandung Jalan Parahyangan Km. 1,2, Kota Baru Parahya",Nan
Akademi Perikanan Bhima Sakti,Jalan Pramuka Labuhan Ratu Ii Lampung Timur,Nan
Akademi Keperawatan Bahrul Ulum Jombang,Jl Kh A Wahab Chasbullah Gg Iv Tambakberas,Nan
Politeknik Kelautan Dan Perikanan Karawang,Nan,Karawang
Universitas Muhadi Setiabudi,"Jl. P. Diponegoro Km 2 Pesantunan, Wanasari Brebes – Jawa Tengah",Brebes
Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Serui,Jalan Hasanudin Serui,Kepulauan Yapen
Stmik Asia Malang,Jl. Soekarno Hatta - Rembuksari 1A Malang,Malang
Akademi Keuangan Perbankan Tahuna,Jalan Gereja Komplek Sinode Gmist,Kepulauan Sangihe
Politeknik Tiara Bunda,Nan,Depok
Universitas Musamus Merauke,Jalan Kamizaun Mopah Lama Merauke,Merauke
Sekolah Tinggi Perikanan,Jl. Aup No. 1 Pasar Minggu Jakarta,Administrasi Jakarta Selatan
Universitas Ma'Arif Lampung,Nan,Metro
Sekolah Tinggi Ilmu Tarbiyah Mamba'Ul Hikam Pali Sumsel,"Jl. Raya Prambatan Ds. Prambatan, Kecamatan Abab, Kabupaten Penukal Abab Lematang Ilir, Provinsi Sumatera Selatan",Penukal Abab Lematang Ilir
Universitas Methodist Indonesia,Jalan Hang Tuah No 8,Labuhanbatu Selatan
Akademi Komunitas Bisnis Internasional,Nan,Nan
Politeknik Muhammadiyah Pekalongan,Jalan Pahlawan No 10 Kajen,Pekalongan
Institut Teknologi Bisnis Riau,Nan,Pekanbaru
Politeknik Baubau,Jl. Lakarambu,Bau Bau
Sekolah Tinggi Manajemen Transportasi Malahayati,"Jl Sungai Tirem No 43, Marunda Baru- Cilincing Jakarta Utara",Administrasi Jakarta Utara
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Jl. Taman Siswa No. 150 B,Yogyakarta
Amik Master Lampung,Jalan Kartini No 33 Blok 6-10,Nan
Politeknik Ganesha Medan,Kampus 1. Jl.Veteran Komp. Brayan Trade Center (Btc) No. 39-41 Kampus 2. Jl. A,Nan
Akademi Komunitas Kosmetik Ristra,"Jl. Bintaro Permai No. 29, Bintaro",Nan
Universitas Katolik Widya Karya,Jalan Bondowoso No 2,Malang
Sekolah Tinggi Ilmu Komunikasi Itkp,Radio Dalam Center Jl Kramat Pela 40 A-B,Nan
Universitas Dharmas Indonesia,Jl Lintas Sumatera Km 18 Koto Baru,Dharmasraya
Akademi Keperawatan Adi Husada,Jalan Manggar No 9,Nan
Stak Wiyata Wacana Pati,Jl. Pangeran Diponegoro No.33,Pati
"Stai Pelabuhan Ratu, Sukabumi",Jl. Siliwangi No. 95 Palabuhanratu,Sukabumi
Sekolah Tinggi Ekonomi Syariah Tunas Palapa Lampung Tengah,Jl. Indra Putra Subing Nomor 1 Bandar Jaya Kab. Lampung Tengah,Tulang Bawang Barat
Institut Teknologi Dan Bisnis Palcomtech,Nan,Nan
Sekolah Tinggi Ilmu Administrasi Pagaruyung,Batusangkar - Sumatera Barat,Merangin
