no,nama,npsn,nama singkat,kode_pos,telepon,fax,email,alamat,kota,provinsi,Negara,lintang,bujur,akreditasi,Status ,rank_qs,rank_country
1,Sekolah Tinggi Ilmu Kesehatan Mega Rezky,93145,STIKes Mega Rezky,90223,4.11E+14,411496614,stikesmegarezky@yahoo.co.id,Jalan Antang Raya No. 43 Makassar,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
2,Universitas Muhammadiyah Lamongan,71096,UMLA,NULL,0322 322356,0322 322356,um.lamongan@yahoo.co.id,NULL,Lamongan,Jawa Timur,Indonesia,-7.1062329,112.3899618,Baik,swasta,NULL,NULL
3,Sekolah Tinggi Ilmu Ekonomi Pontianak,113007,STIEP,78235,5618172645,5618172645,stiepontianak163@gmail.com,Jalan Sultan Hamid II No 163 ,Pontianak,Kalimantan Barat,Indonesia,-0.031345,109.359043,Baik,swasta,NULL,NULL
4,Sekolah Tinggi Ilmu Ekonomi Graha Kirana,13068,STIEGK,20112,614521924,614154630, stie@graha-kirana.com,Jalan Kirana Raya No 20-22 ,Medan,Sumatera Utara,Indonesia,3.5903436,98.6633903,Baik,swasta,NULL,NULL
5,"STAI An-Nadwah Kuala Tungkal, Jambi",213423,STAI An-Nadwah Kuala,36513,74222190,Telp/Fax. (0742)2219,staiannadwah@gmail.com, Jln. Kapt. Pierre Tendean   ,Natuna,Kepulauan Riau,Indonesia,4.7075134,111.2913444,Baik,swasta,NULL,NULL
6,STAI Sultan Abdurrahman Kepulauan Riau,213504,STAI SULTAN ABDURRAH,29122,77128715,77128715,stain.kepri@yahoo.com,"Jl. MT. Haryono  , No. 01  Kel. Tanjung Unggat, 
Kec. Bukit Bestari  Kota Tanju",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
7,Sekolah Tinggi Ilmu Administrasi Lppn,103014,STIA LPPN Padang,25214,75125052,75125052,info@stia-lppn.ac.id,Jl Seberang Padang Selatan I No 13 15,Padang,Sumatera Barat,Indonesia,-0.957138,100.373662,B,swasta,NULL,NULL
8,STAIN Jember,203029,STAIN JEMBER,68136,331487550,331427005,info@iain-jember.ac.id,Jl. Jumat No. 94 Mangli,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
9,Politeknik Sukabumi,45020,POLIKAMI,43111,266215417,266215417,direktorat@polteksmi.ac.id,Jalan Babakan Sirna No 25 Kelurahan Benteng,Sukabumi,Jawa Barat,Indonesia,-6.9197745,106.9127762,Baik,swasta,NULL,NULL
10,Sekolah Tinggi Ilmu Sosial Ilmu Politik Kebangsaan,123032,(STISIP) Kebangsaan,97511,9142311688,9142311688,stisipkebangsaan_masohi@yahoo.co.id,Jalan Abdullah Soulissa ,Maluku Tengah,Maluku,Indonesia,-3.3345839,128.9359132,NULL,swasta,NULL,NULL
11,Universitas Tamansiswa,101005,UNITAS,25138,(0751) 40020,(0751) 4447170,unitaspadang@yahoo.com,Jalan Tamansiswa No 9 Padang,Padang,Sumatera Barat,Indonesia,-0.9293342,100.3629613,Baik Sekali,swasta,NULL,NULL
12,IKIP Gunung Sitoli,12001,IKIP Gunungsitoli,22815,63921616,63921616,adminen@ikipgunungsitoli.ac.id,Jl Yos Sudarso No 118E-S ,Gunungsitoli,Sumatera Utara,Indonesia,1.3020333,97.6080912,NULL,swasta,NULL,NULL
